frame_number;seconds;resolution
462;18.48;640x480
463;18.52;640x480
464;18.56;640x480
465;18.6;640x480
466;18.64;640x480
467;18.68;640x480
468;18.72;640x480
469;18.76;640x480
470;18.8;640x480
471;18.84;640x480
472;18.88;640x480
473;18.92;640x480
474;18.96;640x480
475;19;640x480
476;19.04;640x480
477;19.08;640x480
478;19.12;640x480
479;19.16;640x480
480;19.2;640x480
481;19.24;640x480
482;19.28;640x480
483;19.32;640x480
484;19.36;640x480
485;19.4;640x480
486;19.44;640x480
487;19.48;640x480
488;19.52;640x480
489;19.56;640x480
490;19.6;640x480
491;19.64;640x480
492;19.68;640x480
493;19.72;640x480
494;19.76;640x480
495;19.8;640x480
496;19.84;640x480
497;19.88;640x480
498;19.92;640x480
499;19.96;640x480
500;20;640x480
501;20.04;640x480
502;20.08;640x480
503;20.12;640x480
504;20.16;640x480
505;20.2;640x480
506;20.24;640x480
507;20.28;640x480
508;20.32;640x480
509;20.36;640x480
510;20.4;640x480
511;20.44;640x480
512;20.48;640x480
513;20.52;640x480
514;20.56;640x480
515;20.6;640x480
516;20.64;640x480
517;20.68;640x480
518;20.72;640x480
519;20.76;640x480
520;20.8;640x480
521;20.84;640x480
522;20.88;640x480
523;20.92;640x480
524;20.96;640x480
525;21;640x480
526;21.04;640x480
527;21.08;640x480
528;21.12;640x480
529;21.16;640x480
530;21.2;640x480
531;21.24;640x480
532;21.28;640x480
533;21.32;640x480
534;21.36;640x480
535;21.4;640x480
536;21.44;640x480
537;21.48;640x480
538;21.52;640x480
539;21.56;640x480
540;21.6;640x480
541;21.64;640x480
542;21.68;640x480
543;21.72;640x480
544;21.76;640x480
545;21.8;640x480
546;21.84;640x480
547;21.88;640x480
548;21.92;640x480
549;21.96;640x480
550;22;640x480
551;22.04;640x480
552;22.08;640x480
553;22.12;640x480
554;22.16;640x480
555;22.2;640x480
556;22.24;640x480
557;22.28;640x480
558;22.32;640x480
559;22.36;640x480
560;22.4;640x480
561;22.44;640x480
562;22.48;640x480
563;22.52;640x480
564;22.56;640x480
565;22.6;640x480
566;22.64;640x480
567;22.68;640x480
568;22.72;640x480
569;22.76;640x480
570;22.8;640x480
571;22.84;640x480
572;22.88;640x480
573;22.92;640x480
574;22.96;640x480
575;23;640x480
576;23.04;640x480
577;23.08;640x480
578;23.12;640x480
579;23.16;640x480
580;23.2;640x480
581;23.24;640x480
582;23.28;640x480
583;23.32;640x480
584;23.36;640x480
585;23.4;640x480
586;23.44;640x480
587;23.48;640x480
588;23.52;640x480
589;23.56;640x480
590;23.6;640x480
591;23.64;640x480
592;23.68;640x480
593;23.72;640x480
594;23.76;640x480
595;23.8;640x480
596;23.84;640x480
597;23.88;640x480
598;23.92;640x480
599;23.96;640x480
600;24;640x480
601;24.04;640x480
602;24.08;640x480
603;24.12;640x480
604;24.16;640x480
605;24.2;640x480
606;24.24;640x480
607;24.28;640x480
608;24.32;640x480
